"x","y","ymin","ymax","se"
81,-0.781257296296577,-1.48814492430092,-0.0743696682922368,0.360663580341363
82,-0.830058730963586,-1.65773425929283,-0.00238320263433767,0.422291192520805
83,-0.876225199497513,-1.84965284008382,0.0972024410887956,0.49665588156955
84,-0.920810688351581,-2.05739771786471,0.215776341161543,0.579901997423615
85,-0.964847225927922,-2.27527968478711,0.345585232931262,0.668600274900819
86,-1.00886180545315,-2.49940371243297,0.481680101526664,0.760494539051239
87,-1.05287638497839,-2.72773658289506,0.621983812938284,0.854536211444575
88,-1.09689096450362,-2.95902891523097,0.765246986223723,0.95008784111119
89,-1.14090554402886,-3.19247040319947,0.910659315141753,1.04673599890258
90,-1.18492012355409,-3.42751651035657,1.0576762632484,1.14420285499723
