"interval_no","record_type","scale_no","scale_level","interval_name","abbrev","parent_no","color","max_ma","mid_ma","min_ma","reference_no","MST","occupancy","terrestrial","ODP","Lower","Median","Upper","Min","Max"
1009,"int",1,5,"Sandbian","San",29,"#8CD094",458.4,455.7,453,47900,122.15,3,3,0,11.85,11.85,11.94,11.85,12.11
556,"int",1,5,"Darriwilian","Dar",30,"#74C69C",467.3,462.85,458.4,47900,20206.03,8,8,0,12.72,12.76,14.2,12.34,22.52
1079,"int",1,5,"Dapingian","Dap",30,"#66C092",470,468.65,467.3,47900,25248.38,4,4,0,13.14,13.46,25.74,12.82,36.32
1010,"int",1,5,"Floian","Flo",31,"#41B087",477.7,473.85,470,47900,30439.57,7,7,0,12.87,15.4,21.53,2.61,21.53
559,"int",1,5,"Tremadocian","Tre",31,"#33A97E",485.4,481.55,477.7,47900,4379.84,3,3,0,18.6,18.6,19.5225,17.32,19.83
1112,"int",1,5,"Stage 10","Sta",780,"#E6F5C9",489.5,487.45,485.4,47900,NA,NA,NA,NA,NA,NA,NA,NA,NA
1113,"int",1,5,"Jiangshanian","Jia",780,"#D9F0BB",494,491.75,489.5,47900,NA,NA,NA,NA,NA,NA,NA,NA,NA
1114,"int",1,5,"Paibian","Pai",780,"#CCEBAE",497,495.5,494,47900,NA,NA,NA,NA,NA,NA,NA,NA,NA
1087,"int",1,5,"Guzhangian","Guz",1109,"#CCDFAA",500.5,498.75,497,47900,0,1,1,0,37.51,37.51,37.51,37.51,37.51
1116,"int",1,5,"Drumian","Dru",1109,"#BFD99D",504.5,502.5,500.5,47900,0,1,1,0,0.09,0.09,0.09,0.09,0.09
1117,"int",1,5,"Stage 5","Sta",1109,"#B3D492",509,506.75,504.5,47900,NA,NA,NA,NA,NA,NA,NA,NA,NA
1118,"int",1,5,"Stage 4","Sta",1110,"#B3CA8E",514,511.5,509,47900,NA,NA,NA,NA,NA,NA,NA,NA,NA
1119,"int",1,5,"Stage 3","Sta",1110,"#A6C583",521,517.5,514,47900,NA,NA,NA,NA,NA,NA,NA,NA,NA
1120,"int",1,5,"Stage 2","Sta",1111,"#A6BA80",529,525,521,47900,NA,NA,NA,NA,NA,NA,NA,NA,NA
1121,"int",1,5,"Fortunian","For",1111,"#99B575",541,535,529,47900,NA,NA,NA,NA,NA,NA,NA,NA,NA
